Id,Bound
6000,0
6001,0
6002,1
6003,1
6004,0
6005,1
6006,1
6007,1
6008,0
6009,1
6010,1
6011,1
6012,1
6013,0
6014,0
6015,0
6016,0
6017,0
6018,0
6019,0
6020,0
6021,1
6022,1
6023,1
6024,1
6025,1
6026,1
6027,0
6028,1
6029,1
6030,0
6031,0
6032,1
6033,0
6034,0
6035,1
6036,1
6037,0
6038,1
6039,1
6040,1
6041,0
6042,1
6043,0
6044,1
6045,1
6046,1
6047,0
6048,0
6049,0
6050,0
6051,1
6052,1
6053,0
6054,1
6055,0
6056,0
6057,0
6058,0
6059,0
6060,1
6061,0
6062,0
6063,0
6064,1
6065,1
6066,1
6067,0
6068,1
6069,1
6070,1
6071,1
6072,1
6073,0
6074,1
6075,0
6076,1
6077,1
6078,1
6079,1
6080,0
6081,1
6082,0
6083,0
6084,1
6085,0
6086,0
6087,1
6088,0
6089,1
6090,1
6091,0
6092,1
6093,1
6094,1
6095,0
6096,0
6097,1
6098,1
6099,1
6100,1
6101,1
6102,0
6103,0
6104,1
6105,1
6106,1
6107,0
6108,0
6109,0
6110,1
6111,0
6112,0
6113,1
6114,0
6115,0
6116,1
6117,0
6118,0
6119,1
6120,0
6121,0
6122,1
6123,0
6124,1
6125,1
6126,0
6127,0
6128,0
6129,1
6130,1
6131,0
6132,0
6133,0
6134,1
6135,1
6136,1
6137,1
6138,1
6139,1
6140,0
6141,1
6142,1
6143,0
6144,1
6145,1
6146,0
6147,0
6148,1
6149,1
6150,1
6151,0
6152,1
6153,0
6154,1
6155,1
6156,0
6157,0
6158,0
6159,1
6160,0
6161,1
6162,0
6163,0
6164,1
6165,0
6166,1
6167,0
6168,1
6169,1
6170,0
6171,0
6172,1
6173,1
6174,0
6175,1
6176,1
6177,0
6178,1
6179,1
6180,0
6181,1
6182,1
6183,0
6184,0
6185,0
6186,0
6187,0
6188,1
6189,0
6190,0
6191,1
6192,1
6193,0
6194,1
6195,0
6196,1
6197,1
6198,1
6199,0
6200,1
6201,1
6202,0
6203,0
6204,1
6205,1
6206,1
6207,0
6208,1
6209,1
6210,1
6211,0
6212,0
6213,0
6214,0
6215,1
6216,0
6217,1
6218,1
6219,1
6220,0
6221,0
6222,1
6223,0
6224,0
6225,1
6226,1
6227,1
6228,0
6229,0
6230,1
6231,1
6232,0
6233,0
6234,0
6235,0
6236,0
6237,0
6238,1
6239,1
6240,1
6241,0
6242,1
6243,0
6244,0
6245,1
6246,0
6247,0
6248,1
6249,1
6250,1
6251,0
6252,1
6253,1
6254,1
6255,0
6256,1
6257,1
6258,1
6259,1
6260,1
6261,0
6262,1
6263,1
6264,1
6265,0
6266,1
6267,0
6268,1
6269,0
6270,0
6271,1
6272,0
6273,1
6274,0
6275,0
6276,0
6277,0
6278,1
6279,0
6280,0
6281,0
6282,1
6283,1
6284,1
6285,1
6286,0
6287,1
6288,0
6289,1
6290,0
6291,1
6292,1
6293,1
6294,1
6295,0
6296,1
6297,1
6298,0
6299,1
6300,0
6301,1
6302,0
6303,0
6304,1
6305,1
6306,1
6307,0
6308,1
6309,0
6310,0
6311,1
6312,0
6313,0
6314,1
6315,1
6316,0
6317,1
6318,1
6319,1
6320,0
6321,0
6322,1
6323,1
6324,0
6325,0
6326,1
6327,0
6328,0
6329,1
6330,1
6331,1
6332,1
6333,1
6334,0
6335,0
6336,0
6337,0
6338,1
6339,1
6340,1
6341,1
6342,1
6343,0
6344,0
6345,1
6346,0
6347,1
6348,0
6349,0
6350,0
6351,0
6352,0
6353,0
6354,0
6355,1
6356,1
6357,0
6358,0
6359,1
6360,0
6361,1
6362,1
6363,0
6364,0
6365,0
